"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"69","[1318] seExibeModalPesquisarServidor","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\AnexarDocumentos\ListaDocumentosAnexados.xhtml?20:5-32:5?6:4-11:5",1,1,1,0,0,0,1,0,0,1,2
"70","[1329] 26:1-126:1?5:3-14:4 (expr)","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\AnexarDespacho\AnexarDespacho.xhtml?26:1-126:1?5:3-14:4",1,1,1,0,0,0,1,0,0,2,2
"71","[1336] exibirModalSelecionarPessoaSeNecessario","D:\github\fontes2\takeOut\econtas\econtasWeb\src\main\webapp\web\prestarConta\dialogEditarResponsavelRol.xhtml?229:32-250:32?8:5-15:6",1,1,1,0,0,0,4,0,0,2,2
"72","[86] getPageOffsetTop","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menuportal\submenu.js?73:0-82:1",1,2,1,0,1,1,1,0,2,3,3
"73","[87] getPageOffsetLeft","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menuportal\submenu.js?61:0-70:1",1,2,1,0,1,1,1,0,2,3,3
"74","[100] init","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menuportal\modelo_portal.js?457:0-464:1",1,2,1,0,0,0,2,0,1,3,3
"75","[110] mudapagina","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menuportal\modelo_portal.js?196:0-202:1",1,1,1,0,0,1,1,0,1,2,3
"76","[117] pegaOffsetSuperiorDaPagina","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menu.js?407:0-415:1",1,2,1,0,1,1,1,0,2,3,3
"77","[118] pegaOffsetEsquerdoDaPagina","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\menu.js?395:0-403:1",1,2,1,0,1,1,1,0,2,3,3
"78","[237] hideTooltipText","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\corporativo_dese.js?4127:0-4134:1",1,2,1,0,1,1,1,0,2,3,3
"79","[530] atualizaSelectAllDocs","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?74:16-79:17",1,1,1,0,0,0,1,0,1,3,3
"80","[832] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\EmitirPronunciamentoUnidadeDeAcordo.xhtml?32:1-454:1?409:1-420:2",1,1,2,0,0,0,1,0,1,4,3
"81","[847] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\EmitirPronunciamentoSupervisorDeAcordo.xhtml?26:17-147:17?109:20-119:21",1,1,2,0,0,0,1,0,1,4,3
"82","[853] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\EmitirPronunciamentoSubunidadeDeAcordo.xhtml?30:1-198:1?156:1-166:2",1,1,2,0,0,0,1,0,1,4,3
"83","[937] trataAlteracaoUnidade","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConfiguraDestinacaoProcessoDocumento\index.xhtml?32:1-63:16?9:5-16:9",1,2,1,0,0,0,2,0,1,4,3
"84","[943] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConcluirPronunciamentoUnidade.xhtml?31:9-291:9?229:12-239:13",1,1,2,0,0,0,1,0,1,4,3
"85","[953] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConcluirPronunciamentoSupervisor.xhtml?29:9-193:9?152:12-162:13",1,1,2,0,0,0,1,0,1,4,3
"86","[961] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConcluirPronunciamentoSubunidade.xhtml?29:9-247:9?188:12-198:13",1,1,2,0,0,0,1,0,1,4,3
"87","[970] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConcluirInstrucaoEmLote.xhtml?24:13-201:13?162:0-172:1",1,1,2,0,0,0,1,0,1,4,3
"88","[978] trataCampoVrf","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConcluirInstrucao.xhtml?26:13-218:13?180:16-190:17",1,1,2,0,0,0,1,0,1,4,3
"89","[1013] trataAlteracaoUnidade","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AtualizaResponsabilidadeSubunidadeInicialGestao.xhtml?24:1-44:16?8:5-16:9",1,2,1,0,0,0,2,0,1,4,3
"90","[1016] habilitaAssinatura","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AtualizarDemonstrativoDebito\AtualizarDemonstrativoDebito.xhtml?26:1-96:8?36:0-42:1",1,1,1,0,0,0,1,0,1,2,3
"91","[1039] habilitaOab","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AtualizaProcesso\AtualizaProcesso.xhtml?32:13-132:13?3:16-8:17",1,1,1,0,0,0,1,0,1,2,3
"92","[1111] atualizarFramePDF","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\VisualizaProcesso\VisualizaProcesso.html?289:32-479:32?97:5-104:6",1,1,1,0,0,0,1,0,1,2,3
"93","[1191] atualizaSelectAllDocs","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\RepresentacaoLegal\CadastrarRepresentacaoLegal\CadastrarRepresentacaoLegal.xhtml?27:9-208:9?76:16-81:17",1,1,1,0,0,0,1,0,1,3,3
"94","[1298] limpaSubunidadeJaoForamRespAgir","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\ConsultaDocumento\ConsultaDocumento.xhtml?46:1-389:1?335:1-342:2",1,1,1,0,0,0,1,0,1,2,3
"95","[1299] desabilita_modal","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\ConsultaDocumento\ConsultaDocumento.xhtml?46:1-389:1?326:1-333:2",1,2,1,0,0,0,2,0,1,3,3
"96","[1364] getPageOffsetTop","D:\github\fontes2\takeOut\corporativo\src\main\webapp\Shared\scripts\menuportal\submenu.js?73:0-82:1",1,2,1,0,1,1,1,0,2,3,3
"97","[1365] getPageOffsetLeft","D:\github\fontes2\takeOut\corporativo\src\main\webapp\Shared\scripts\menuportal\submenu.js?61:0-70:1",1,2,1,0,1,1,1,0,2,3,3
"98","[17] timeoutClickOn","D:\github\fontes2\takeOut\shared-mesatrabalhojsf12\src\main\webapp\Web\MesaTrabalho\MesaGenerica.html?19:1-418:1?365:0-372:1",1,2,1,0,0,1,5,0,0,5,4
"99","[548] 25:9-260:9?130:64-136:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameUnidade.xhtml?25:9-260:9?130:64-136:33",1,2,1,0,0,2,8,0,1,6,4
"100","[550] 25:9-260:9?110:56-116:29 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameUnidade.xhtml?25:9-260:9?110:56-116:29",1,2,1,0,0,2,6,0,1,5,4
"101","[552] setaAssuntoDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameUnidade.xhtml?25:9-260:9?78:20-85:21",1,3,1,0,0,1,6,0,2,3,4
"102","[564] 25:9-298:9?193:67-200:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameSubunidade.xhtml?25:9-298:9?193:67-200:33",1,2,1,0,0,2,8,0,1,6,4
"103","[569] setaAssuntoDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameSubunidade.xhtml?25:9-298:9?59:20-66:21",1,3,1,0,0,1,6,0,2,3,4
"104","[579] 25:9-228:9?124:64-130:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameDeMerito.xhtml?25:9-228:9?124:64-130:33",1,2,1,0,0,2,8,0,1,6,4
"105","[581] 25:9-228:9?104:56-110:29 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameDeMerito.xhtml?25:9-228:9?104:56-110:29",1,2,1,0,0,2,6,0,1,5,4
"106","[584] setaAssuntoDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\IniciarExameDeMerito.xhtml?25:9-228:9?57:20-64:21",1,3,1,0,0,1,6,0,2,3,4
"107","[700] 15:17-313:17?199:75-205:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarPronunciamentoUnidade.xhtml?15:17-313:17?199:75-205:33",1,2,1,0,0,2,6,0,1,5,4
"108","[702] 15:17-313:17?179:56-185:29 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarPronunciamentoUnidade.xhtml?15:17-313:17?179:56-185:29",1,2,1,0,0,2,6,0,1,5,4
"109","[717] setaAssuntoDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarPronunciamentoSupervisor.xhtml?25:9-139:17?57:5-64:6",1,3,1,0,0,1,6,0,2,3,4
"110","[727] 25:9-296:17?182:75-188:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarPronunciamentoSubunidade.xhtml?25:9-296:17?182:75-188:33",1,2,1,0,0,2,6,0,1,5,4
"111","[729] 25:9-296:17?162:56-168:29 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarPronunciamentoSubunidade.xhtml?25:9-296:17?162:56-168:29",1,2,1,0,0,2,6,0,1,5,4
"112","[747] 23:1-407:17?257:75-263:33 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarInstrucao.xhtml?23:1-407:17?257:75-263:33",1,2,1,0,0,2,6,0,1,5,4
"113","[749] 23:1-407:17?237:56-243:29 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IniciarInstrucao.xhtml?23:1-407:17?237:56-243:29",1,2,1,0,0,2,6,0,1,5,4
"114","[923] selecionaClasseAdm","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConsultarProcesso.xhtml?26:8-428:1?392:0-399:1",1,2,1,0,0,1,7,0,0,5,4
"115","[924] selecionaSubclasseAdm","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\ConsultarProcesso.xhtml?26:8-428:1?383:0-390:1",1,2,1,0,0,1,7,0,0,5,4
"116","[1060] preencherTodosAssinar","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?10:4-19:5",1,3,1,0,0,1,6,0,0,4,4
"117","[256] setUnset","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\corporativo_dese.js?3323:0-3330:1",0,2,1,0,0,1,2,0,0,1,5
"118","[333] focusBotaoSalvarHoraPreenchida","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\EditarSessao.xhtml?18:16-148:16?91:3-98:7",0,3,1,0,0,1,3,0,0,3,5
"119","[364] exibirModalPautaReabertaDou","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Pauta\PublicarPauta.xhtml?38:16-78:1?12:1-18:2",0,2,1,0,0,1,2,0,0,2,5
"120","[365] exibirModalPautaReaberta","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Pauta\PublicarPauta.xhtml?38:16-78:1?4:1-10:2",0,2,1,0,0,1,2,0,0,2,5
"121","[377] focaBotaoFechar","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Pauta\EditarDadosProcessoNaPauta.xhtml?21:16-99:16?54:2-59:3",0,2,1,0,0,0,2,0,1,2,5
"122","[380] trataKeyUpTextoDadosPautaExplicativa","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Pauta\EditarDadosProcessoNaPauta.xhtml?21:16-99:16?4:2-9:9",0,2,0,0,0,1,2,0,1,3,5
"123","[624] abreJanelaAssinaturaDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\EmitirAdmissibilidadePelaUnidade.xhtml?34:1-97:1?42:0-47:1",0,2,1,0,0,0,1,0,1,2,5
"124","[676] abreJanelaAssinaturaDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Recurso\AssociarExameDeAdmissibilidade.xhtml?41:1-329:1?57:4-67:5",0,2,1,0,0,0,1,0,1,2,5
"125","[1064] recarregaContadorCaracteresHistorico","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\CancelarAcao.xhtml?28:1-55:1?5:1-14:2",0,2,0,0,0,0,3,0,0,2,5
"126","[1072] 12:8-149:8?96:16-102:17 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaMinXX.html?12:8-149:8?96:16-102:17",0,2,0,0,0,0,2,0,1,2,5
"127","[1075] 12:8-149:8?71:16-77:17 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaMinXX.html?12:8-149:8?71:16-77:17",0,2,0,0,0,0,2,0,1,2,5
"128","[1083] 12:5-140:5?96:64-102:65 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaDistribuidosAssessor.html?12:5-140:5?96:64-102:65",0,2,0,0,0,0,2,0,1,2,5
"129","[1086] 12:5-140:5?71:64-77:65 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaDistribuidosAssessor.html?12:5-140:5?71:64-77:65",0,2,0,0,0,0,2,0,1,2,5
"130","[1096] 12:8-149:8?96:16-102:17 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaDistribuidos.html?12:8-149:8?96:16-102:17",0,2,0,0,0,0,2,0,1,2,5
"131","[1099] 12:8-149:8?71:16-77:17 (expr)","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaDistribuidos.html?12:8-149:8?71:16-77:17",0,2,0,0,0,0,2,0,1,2,5
"132","[1145] contabilizaAgrupadores","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\scripts\egestao.js?99:0-106:1",0,2,0,0,0,0,4,0,0,2,5
"133","[1163] trataModalRichfaces","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\scripts\eDoc.js?533:0-538:1",0,2,0,0,0,1,2,0,0,1,5
"134","[1342] callbackJanelaAssinatura","D:\github\fontes2\takeOut\econtas\econtasWeb\src\main\webapp\web\autuar\autuarProcessoContas.xhtml?22:13-75:13?16:16-21:17",0,2,1,0,0,0,3,0,0,2,5
"135","[49] picklistFocusHandler","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\rotinascontroles.js?518:0-531:1",2,5,2,0,0,1,3,0,4,8,6
"136","[236] picklistFocusHandler","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\corporativo_dese.js?4152:0-4165:1",2,5,2,0,0,1,3,0,4,8,6
"137","[1284] trataDataDocumento","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\EditarDadosGeraisDocumento\scripts\abaDadosGerais.js?92:0-107:1",2,6,2,0,0,1,3,0,5,9,6
"138","[776] habilitaDesabilitaTxtAnoExercicioContas","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\IncluirEditarMonitoramento.xhtml?25:1-94:17?4:20-11:6",1,2,1,0,0,0,3,0,2,6,7
"139","[1144] expandeArvore","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\scripts\egestao.js?111:0-119:1",1,3,1,0,0,1,4,0,2,8,7
"140","[1258] disparaOperacaoDadosGerais","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\GereDadosGeraisDocumento\scripts\GereDadosGeraisDocumento.js?2:0-13:1",1,2,2,0,0,0,2,0,1,6,8
